331-gala-cau-lac-bo-doi-nhom-ngay-hoi-chieu-mo-nhung-tan-binh|Gala Câu lạc bộ - Đội – Nhóm: Ngày hội “chiêu mộ” những tân binh|Được viết bởi Nguyễn Quốc Điền|'NTTU – Sáng ngày 30/10/2020, tại sân trường sơ sở quận 12, Đoàn – Hội sinh viên Trường ĐH Nguyễn Tất Thành đã tổ chức chương trình Gala Câu lạc bộ - Đội – Nhóm thu hút sự tham gia của đông đảo các bạn sinh viên.\nChương trình gala năm nay quy tụ gần 20 Câu lạc bộ - Đội – Nhóm như: CLB Futsal, CLB Guitar, CLB Judo, CLB Karatedo, CLB Phenomenal, CLB Thể thao điện tử, CLB Văn nghệ… tham gia trưng bày gian hàng giới thiệu và đặc biệt là tìm kiếm những “tân binh” mới. Sinh viên tham gia có thể lựa chọn gia nhập và sinh hoạt trong một Câu lạc bộ - Đội – Nhóm bất kỳ, phù hợp với sở thích, năng khiếu của bản thân.\nTại gala đã diễn ra nhiều hoạt động thú vị như: trò chơi đồng đội; Cuộc thi "Rung chuông vàng - Tìm hiểu về truyền thống Hội Sinh Viên Việt Nam và Sinh viên với Văn hóa Giao thông"; phiên chợ mini với nhiều món ăn đa dạng, hứa hẹn sẽ khiến bạn “múp” lên đáng kể hoặc check-in tại những “góc sống ảo” cực kỳ lung linh. Ngoài ra, Gala Câu lạc bộ - Đội – Nhóm còn là cơ hội để tân sinh viên trở thành Hội sinh viên chính chức của Trường ĐH Nguyễn Tất Thành, cùng với đó là tìm hiểu những hoạt động của Hội sinh viên Trường, tiêu biểu là chương trình sinh viên 5 tốt.\nĐặc biệt, Gala Câu lạc bộ - Đội – Nhóm cũng đã tổ chức quyên góp ủng hộ đồng bào miền Trung bị ảnh hưởng của lũ lụt và bão nhằm chia sẻ những khó khăn, mất mát, đau thương. Cùng với đó là nêu cao trách nhiệm, tấm lòng cùng truyền thống “Tương thân thương ái” của dân tộc ta nói chung, của sinh viên ĐH Nguyễn Tất Thành nói riêng.\nTối cùng ngày đã diễn ra đêm hội nhạc Rock Dead Rissing. Tại đây sinh viên sẽ được hào mình vài những không gian huyền bí và ma mị. Cùng với đó là những vũ điệu, ca khúc sôi động và màn giao lưu cùng các ca sĩ khách mời đầy thú vị.'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://kd.ntt.edu.vn/images/BaiViet/Nam2020/Thang11/gala-cau-lac-bo-doi-nhom-ngay-hoi-chieu-mo-nhung-tan-binh-1.jpg, https://kd.ntt.edu.vn/images/BaiViet/Nam2020/Thang11/gala-cau-lac-bo-doi-nhom-ngay-hoi-chieu-mo-nhung-tan-binh-2.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
324-sinh-vien-dh-nguyen-tat-thanh-phan-khoi-troi-lai-truong|Sinh viên ĐH Nguyễn Tất Thành phấn khởi trở lại trường!|Được viết bởi Phan Sơn Thịnh|'NTTU - Ngày 11/5/2020, hơn 3.000 sinh viên Trường ĐH Nguyễn Tất Thành đã quay trở lại trường sau “kỳ nghỉ Tết kỷ lục”.\n  Trong ngày đầu tham gia giảng dạy, học tập trở lại, Trường ĐH Nguyễn Tất Thành đã bố trí hơn 20 máy đo thân nhiệt cùng động ngũ nhân viên, sinh viên hỗ trợ tiến hành đo thân nhiệt tại cổng ra - vào thuộc các cơ sở và tiến hành giãn cánh khi ra vào cổng trường bằng các vạch kẻ được Nhà trưởng bố trí sẵn. Ngoài ra, Trường ĐH Nguyễn Tất Thành cũng bố trí nước rửa tay sát khuẩn tại các cửa thang máy, các tầng lầu và khuyến khích sinh viên thực hiện nghiêm việc đeo khẩu trang trên đường đến trường và từ trường về nhà; không dùng chung các đồ dùng cá nhân; bỏ rác đúng nơi quy định; kịp thời báo cáo lãnh đạo nhà trường nếu phát hiện có sinh viên, giảng viên, cán bộ, nhân viên nhà trường có biểu hiện không bình thường về sức khỏe để có biện pháp xử lý. Đồng thời, ĐH Nguyễn Tất Thành đã yêu cầu sinh viên khai báo y tế online để có biện pháp sàn lọc và đảm bảo an toàn trong Nhà trường.\n"Dù phải chờ đợi trong thời tiết nắng nóng nhưng hầu hết tất cả các bạn sinh viên khi đến trường đều thực hiện nghiêm túc việc đo thân nhiệt, giãn cách an toàn và khai báo y tế. Với công tác đảm bảo an toàn sau dịch bệnh mà Nhà trường chuẩn bị sẽ giúp các bạn sinh viên có thể an tâm khi tham gia học tập” – Bạn Công Qui, sinh viên khoa Dược, tình nguyện viên thực hiện đo thân nhiệt.\nBạn Thanh Trúc – Sinh viên ngành Dược học chia sẻ trong ngày đầu đi học trở lại: “Ngày hôm nay trở lại trường mình đã rất phấn khởi, mong chờ và đặc biệt là bất ngờ với công tác đảm bảo an toàn dịch bệnh của Nhà trường, mình được đo thân nhiệt, rửa tay sát khuẩn và hướng dẫn khai báo y tế. Với những gì mà Trường ĐH Nguyễn Tất Thành chuẩn bị đã làm mình an tâm học tập.”\nĐể đảm bảo an toàn cho cán bộ, giảng viên và sinh viên, ĐH Nguyễn Tất Thành đã tiến hành phun, xịt khử trùng phòng học, phòng thực hành - thí nghiệm, khu tự học và khuôn viên Nhà trường. Bên cạnh đó, giảng viên và sinh viên Trường ĐH Nguyễn Tất Thành tiến hành nghiên cứu, pha chế nước rửa tay sát khuẩn phục vụ nhu cầu phòng, tránh dịch bệnh cán bộ, giảng viên, công nhân viên và sinh viên trong Nhà trường. Ngoài ra, nhằm chia sẻ, giúp đỡ những khó khăn của phụ huynh và sinh viên trong tình hình dịch bệnh, ĐH Nguyễn Tất Thành đã hỗ trợ giảm 15% học phí trên các học phần đào tạo online và mức giảm sẽ được khấu trừ vào học phí học kỳ III năm học 2019 – 2020 của sinh viên và quyết định xóa bỏ N* cho các sinh viên chưa hoàn tất đóng học phí học kỳ II.\nTags: sinhvien\nChuyên mục: Hoạt động sinh viên\nĐã đọc 45464 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
322-xuan-tinh-nguyen-2020-sinh-vien-dh-nguyen-tat-thanh-lan-toa-net-dep-tet-van-minh|Xuân tình nguyện 2020 – Sinh viên ĐH Nguyễn Tất Thành lan tỏa nét đẹp Tết văn minh|Được viết bởi Super User|'NTTU -  Vừa qua, Liên chi hội các khoa đã phối hợp với Đoàn – Hội sinh viên trường ĐH Nguyễn Tất Thành tổ chức ra quân “Xuân tình nguyện 2020”.\nNăm nay, chiến dịch “Xuân tình nguyện” năm nay của Trường Đại học Nguyến Tất Thành được diễn ra từ ngày 28-12-2019 đến 20-01-2020 chia thành 5 chương trình trọng điểm: Xuân tự hào, Tết Đoàn viên, Xuân sẻ chia, Xuân chiến sĩ, Tết văn minh.\nLễ ra quân "Ngày Lao động Cộng sản"của Liên chi hội khoa Ngoại Ngữ\nCụ thể, “Xuân tự hào” bao gồm các hoạt động tổ chức Lễ kết nạp Đoàn viên – Hội viên và chương trình nhân kỷ niệm 70 năm ngày truyền thống học sinh – sinh viên; tổ chức cuộc thi “Rung chuông vàng” kỷ niệm 90 năm ngày Thành lập Đảng Cộng sản Việt Nam.\n“Tết Đoàn viên” với chủ đề “Ấm Tình Xuân – Sinh viên đón Tết xa nhà” gồm các hoạt động tặng quà cho các bạn sinh viên không về quê đón Tết, đồng thời hỗ trợ vé xe về quê miễn phí cho sinh viên ở các tỉnh xa có hoàn cảnh khó khăn đang học tập tại Trường.\n“Xuân sẻ chia” tổ chức các chương trình ca nhạc “Rạp chiếu bóng” gây quỹ; nấu và phát cơm, gói bánh chưng, bánh tét tặng người dân có hoàn cảnh khó khăn, các gia đình chính sách, hộ nghèo, cận nghèo, những người vô gia cư trên địa bàn phường; tổ chức sân chơi và tặng quà Tết cho các em thiếu nhi,\n“Xuân chiến sĩ” gồm các hoạt động giao lưu văn nghệ, hỏi thăm và tặng quà, chúc Tết các chiến sĩ, bộ đội biên phòng trên địa bàn Thành phố.\n“Tết văn minh” gồm các hoạt động trang trí Tết tại các khu vực Ký túc xá của trường; phối hợp với Quận Đoàn 4 tổ chức chương trình Hướng dẫn lái xe an toàn, tuyên truyền về an toàn giao thông cho các bạn Sinh viên và người dân vào dịp Tết Nguyên đán.\nCác chiến sĩ tham gia lễ ra quân mặt trận phường Bình Trưng Tây\nChiến dịch “Xuân tình nguyện 2020” đã thu hút đông đảo gần 150 chiến sĩ tình nguyện trường Đại học Nguyễn Tất Thành tham gia đăng ký. Ngay khi ra quân “Ngày Lao động Cộng sản”, các chiến sĩ ở khắp các mặt trận phường Bình Trưng Tây (Quận 2), phường Tân Hưng (Quận 7) hay phối hợp với phường Tân Thới Hiệp (Quận 12) đã hăng hái tham gia các công tác xóa bỏ quảng cáo, dọn vệ sinh, cùng các hoạt động tuyên truyền, vận động người dân dọn dẹp các bãi rác tồn đọng, phát quang bụi rậm xung quanh nhà để cùng chào đón xuân Canh Tý 2020 đang đến gần.\nĐược sự hỗ trợ nhiệt tình từ Đoàn phường 15 (Quận Bình Thạnh), các hoạ sĩ nghiệp dư của Liên chi hội khoa Ngoại Ngữ đã thuận lợi hoàn thành những “tác phẩm đầu tay” với thông điệp “Hãy cứu lấy Trái đất – Sự sống của chúng ta” như một lời tuyên truyền đến với người dân địa phương nâng cao ý thức phân loại rác tại nguồn, đúng nơi quy định\nCũng trong chiến dịch này, để lan tỏa không khí Xuân ấm áp đến khắp mọi nơi, các chiến sĩ tình nguyện khoa Tài chính – Kế toán đã không ngần ngại đường xá xa xôi, mang theo 200 suất quà bao gồm quần áo, bánh kẹo và các yếu phẩm đến trao tặng các trẻ em dân tộc thiểu số ở miền cao đang còn gặp nhiều khó khăn tại Trường Tiểu học Đan Phượng 2, xã Đan Phượng, huyện Lâm Hà, tỉnh Lâm Đồng.\nCác chiến sĩ khoa Tài chính - Kế toán trao quà Tết cho các trẻ em nghèo tại trường Tiểu học Đan Phượng 2\nXuân tình nguyện là hoạt động mang đến nhiều trải nghiệm thú vị cho các chiến sĩ trường Đại học Nguyễn Tất Thành tham gia, đồng thời cũng mang đến nhiều ý nghĩa thiết thực cho các hoàn cảnh khó khăn cần giúp đỡ. Thông qua chiến dịch, ta càng thấy rõ hơn tinh thần tương thân tương ái và tràn đầy nhiệt huyết của các bạn trẻ hiện nay. Mong rằng, trong tương lai, không chỉ TP.HCM mà các thành phố khác cũng sẽ thực hiện Xuân tình nguyện, phát huy và lan tỏa hơn nữa truyền thống “lá lành đùm lá rách” của dân tộc Việt Nam.\n“Xuân tình nguyện” là một hoạt động thiện nguyện giàu ý nghĩa do Hội viên, sinh viên Trường Đại học Nguyễn Tất Thành tổ chức thực hiện vào mỗi dịp Tết đến Xuân về. Chiến dịch này từ khi bắt đầu phát động cho đến nay vẫn luôn nhận được sự đón nhận, quan tâm, ủng hộ từ đông đảo bộ phận sinh viên, giảng viên và Ban giám hiệu Nhà trường vì giá trị nhân văn sâu sắc, sẻ chia và chung tay vì một cái Tết sung túc, đầm ấm đến cho những người có hoàn cảnh khó khăn.\nChuyên mục: Hoạt động sinh viên\nĐã đọc 61175 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://ky.ntt.edu.vn/images/BaiViet/Nam2020/Thang2/dh-nguyen-tat-thanh-lan-toa-net-dep-tet-van-minh-1.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2020/Thang2/dh-nguyen-tat-thanh-lan-toa-net-dep-tet-van-minh-2.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2020/Thang2/dh-nguyen-tat-thanh-lan-toa-net-dep-tet-van-minh-3.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
318-sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween|Sinh viên ĐH Nguyễn Tất Thành khám phá không gian Halloween|Được viết bởi Phan Sơn Thịnh|'NTTU – Diễn ra vào tối ngày 30/10/2019 tại cơ sở An Phú Đông, đêm hội Halloween đã thu hút sự tham gia nhiệt tình của các bạn sinh viên. Với không gian được thiết kế huyền bí, mang lại cảm giác ma mị cùng với những bộ trang phục và phụ kiện hóa trang độc đáo, bắt mắt theo đúng phong cách Halloween, chương trình đã nhận được nhiều sự yêu mến đặc biệt\nSinh viên trường ĐH Nguyễn Tất Thành đã hóa trang vào các nhân vật như: thây ma, xác ướp, ma búp bê, ác quỷ, phù thủy, thần chết,… với những style trang phục kinh dị và phụ kiện độc đáo\nKhông khí của chương trình không chỉ được khấy động bởi những màn biểu diễn của các CLB Trường ĐH Nguyễn Tất Thành mà sự xuất hiện của…\nca sĩ Trịnh Thăng Bình…\nca sĩ Hồ Việt Trung đã làm cho không khí nóng hơn bao giờ hết\nVũ điệu DJ đã khép lại một lễ hội Halloween đầy màu sắc của Trường ĐH Nguyễn Tất Thành\nTags: halloween\nChuyên mục: Hoạt động sinh viên\nĐã đọc 37610 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-1.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-2.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-3.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-4.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-10.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-11.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-5.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-6.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-7.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-8.jpg, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/sinh-vien-dh-nguyen-tat-thanh-kham-pha-khong-gian-halloween-9.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
298-chung-ket-hoi-thi-bi-thu-chi-doan-gioi|Chung kết hội thi Bí thư Chi Đoàn giỏi|Được viết bởi Super User|'Trải qua nhiều vòng thi gay cấn và hồi hộp, vòng chung kết đã gọi tên đồng chí Võ Ngọc Minh Hà - UV BCH Đoàn khoa Dược của chúng ta đã xuất sắc đạt GIẢI NHẤT trong hội thi " Bí thư Chi Đoàn giỏi" do Đoàn khối Doanh nghiệp Công nghiệp Trung ương tổ chức. \n  Các bạn Đoàn viên, Sinh viên ơi, vững việc học đồng thời rèn luyện tốt các kỹ năng từ phong trào Đoàn hội để có một thời Sinh viên rực rỡ, tươi đẹp nhất nhé !\nChuyên mục: Hoạt động sinh viên\nĐã đọc 285 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/chung-ket-hoi-thi-bi-thu-chi-doan-gioi.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
297-tat-nien-can-bo-nong-cot-khoa-duoc-2018-2019|Tất niên cán bộ nòng cốt khoa Dược 2018-2019|Được viết bởi Super User|'Năm cũ đã qua, năm mới lại đến; khép lại chặng đường một năm đầy những thay đổi và những bước khởi sắc cho Đoàn khoa Dược; buổi tất niên thân mật vừa diễn ra như một lời tri ân đến tất cả các bạn ban cán sự chi đoàn, chi hội của Khoa.\nMột tập thể mạnh không thể từ sức mạnh cá nhân mà là từ sức mạnh của tập thể. Để Đoàn - Hội sinh viên Khoa Dược được ngày một phát triển hơn chúng ta hãy cùng nhau chung tay cố gắng nhé . Lên dây cót tinh thần để thi thật tốt đón một cái Tết trọn vẹn nào cả nhà ơi !\nKHOA DƯỢC FOREVER\nChuyên mục: Hoạt động sinh viên\nĐã đọc 296 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/tat-nien-can-bo-nong-cot-khoa-duoc-2018-2019.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
296-dai-hoi-dai-bieu-lien-chi-hoi-khoa-duoc-nhiem-ki-vi-2018-2019|Đại hội đại biểu liên Chi Hội khoa Dược - nhiệm kì VI (2018 – 2019)|Được viết bởi Super User|'Trong ngày 30/06/2019 và 06/07/2019 vừa qua, Đoàn - Hội khoa Dược đã long trọng tổ chức "Đại hội Đại biểu Đoàn khoa Dược - Nhiệm kỳ VI (2018 - 2019)" và "Đại hội Đại biểu Liên Chi Hội khoa Dược - Nhiệm kỳ VI (2018 - 2019)"\nĐại hội đã tiến hành tổng kết công tác trong nhiệm kỳ vừa qua và đưa ra phương hướng, các chương trình hoạt động trong nhiệm kỳ VI. Các đại biểu cũng thảo luận góp ý văn kiện Đại hội trong không khí sôi nổi, nhiệt tình nhằm đưa ra nhiều giải pháp hiệu quả giúp nâng chất hoạt động phong trào và công tác Đoàn - Hội khoa Dược ngày một vững mạnh.\nĐặc biệt, Đại hội đã chọn ra Ban Chấp hành mới là những gương mặt tiêu biểu, có uy tín, trách nhiệm được tập thể tín nhiệm. Cũng như đã được tiếp thu ý kiến chỉ đạo từ Đoàn cấp trên.\nĐại hội đã diễn ra thành công tốt đẹp, thể hiện ý chí, nguyện vọng của sinh viên, học tập, rèn luyện, phát huy những thành tích đạt được trong nhiệm kỳ qua, phấn đấu đẩy mạnh công tác Đoàn - Hội và phong trào sinh viên khoa Dược trong những năm tới đúng như khẩu hiệu hành động Đại hội thống nhất: SINH VIÊN KHOA DƯỢC - SÁNG TẠO, ĐỔI MỚI - HƯỚNG TỚI THÀNH CÔNG!\nChuyên mục: Hoạt động sinh viên\nĐã đọc 722 lần'|https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/logo.png, https://ky.ntt.edu.vn/images/system/vi.png, https://ky.ntt.edu.vn/images/system/en.png, https://ky.ntt.edu.vn/images/system/Home.png, https://ky.ntt.edu.vn/images/BaiViet/Nam2019/Thang12/dai-hoi-dai-bieu-lien-chi-hoi-khoa-duoc-nhiem-ki-vi-2018-2019.jpg, http://media.ntt.edu.vn//images/bagallery/original/TienIchSinhVien.jpg, https://ky.ntt.edu.vn/images/system/fb.png, https://ky.ntt.edu.vn/images/system/google.png, https://ky.ntt.edu.vn/images/system/youtube.png
